date_column,feature_1,feature_2
7/22/2011,0.848333,3387
7/23/2011,0.849167,3285
7/24/2011,0.83,3606
7/25/2011,0.743333,3840
7/26/2011,0.771667,4590
7/27/2011,0.775,4656
7/28/2011,0.779167,4390
7/29/2011,0.838333,3846
7/30/2011,0.804167,4475
7/31/2011,0.805833,4302
8/1/2011,0.771667,4266
8/2/2011,0.783333,4845
8/3/2011,0.731667,3574
8/4/2011,0.71,4576
8/5/2011,0.710833,4866
8/6/2011,0.716667,4294
8/7/2011,0.7425,3785
8/8/2011,0.765,4326
8/9/2011,0.775,4602
8/10/2011,0.766667,4780
8/11/2011,0.7175,4792
8/12/2011,0.708333,4905
8/13/2011,0.685833,4150
8/14/2011,0.676667,3820
8/15/2011,0.665833,4338
8/16/2011,0.700833,4725
8/17/2011,0.723333,4694
8/18/2011,0.711667,3805
8/19/2011,0.685,4153
8/20/2011,0.6975,5191
8/21/2011,0.710833,3873
8/22/2011,0.691667,4758
8/23/2011,0.640833,5895
8/24/2011,0.673333,5130
8/25/2011,0.684167,3542
8/26/2011,0.7,4661
8/27/2011,0.68,1115
8/28/2011,0.707059,4334
8/29/2011,0.636667,4634
8/30/2011,0.639167,5204
8/31/2011,0.656667,5058
9/1/2011,0.655,5115
9/2/2011,0.643333,4727
9/3/2011,0.669167,4484
9/4/2011,0.709167,4940
9/5/2011,0.673333,3351
9/6/2011,0.54,2710
9/7/2011,0.599167,1996
9/8/2011,0.633913,1842
9/9/2011,0.65,3544
9/10/2011,0.66,5345
9/11/2011,0.653333,5046
9/12/2011,0.644348,4713
9/13/2011,0.650833,4763
9/14/2011,0.673333,4785
9/15/2011,0.5775,3659
9/16/2011,0.469167,4760
9/17/2011,0.491667,4511
9/18/2011,0.5075,4274
9/19/2011,0.549167,4539
9/20/2011,0.561667,3641
9/21/2011,0.595,4352
9/22/2011,0.628333,4795
9/23/2011,0.609167,2395
9/24/2011,0.606667,5423
9/25/2011,0.634167,5010
9/26/2011,0.649167,4630
9/27/2011,0.636667,4120
9/28/2011,0.635,3907
9/29/2011,0.616667,4839
9/30/2011,0.564167,5202
10/1/2011,0.41,2429
10/2/2011,0.356667,2918
10/3/2011,0.384167,3570
10/4/2011,0.484167,4456
10/5/2011,0.538333,4826
10/6/2011,0.494167,4765
10/7/2011,0.510833,4985
10/8/2011,0.521667,5409
10/9/2011,0.540833,5511
10/10/2011,0.570833,5117
10/11/2011,0.566667,4563
10/12/2011,0.543333,2416
10/13/2011,0.589167,2913
10/14/2011,0.550833,3644
10/15/2011,0.506667,5217
10/16/2011,0.511667,5041
10/17/2011,0.534167,4570
10/18/2011,0.5325,4748
10/19/2011,0.541739,2424
10/20/2011,0.475833,4195
10/21/2011,0.4275,4304
10/22/2011,0.4225,4308
10/23/2011,0.421667,4381
10/24/2011,0.463333,4187
10/25/2011,0.471667,4687
10/26/2011,0.484167,3894
10/27/2011,0.47,2659
10/28/2011,0.330833,3747
10/29/2011,0.254167,627
10/30/2011,0.319167,3331
10/31/2011,0.34,3669
11/1/2011,0.400833,4068
11/2/2011,0.3775,4186
11/3/2011,0.408333,3974
11/4/2011,0.403333,4046
11/5/2011,0.326667,3926
11/6/2011,0.348333,3649
11/7/2011,0.395,4035
11/8/2011,0.408333,4205
11/9/2011,0.4,4109
11/10/2011,0.38,2933
11/11/2011,0.324167,3368
11/12/2011,0.356667,4067
11/13/2011,0.440833,3717
11/14/2011,0.53,4486
11/15/2011,0.53,4195
11/16/2011,0.456667,1817
11/17/2011,0.341667,3053
11/18/2011,0.274167,3392
11/19/2011,0.329167,3663
11/20/2011,0.463333,3520
11/21/2011,0.4475,2765
11/22/2011,0.416667,1607
11/23/2011,0.440833,2566
11/24/2011,0.373333,1495
11/25/2011,0.375,2792
11/26/2011,0.375833,3068
11/27/2011,0.459167,3071
11/28/2011,0.503478,3867
11/29/2011,0.458333,2914
11/30/2011,0.325,3613
12/1/2011,0.3125,3727
12/2/2011,0.314167,3940
12/3/2011,0.299167,3614
12/4/2011,0.330833,3485
12/5/2011,0.385833,3811
12/6/2011,0.4625,2594
12/7/2011,0.41,705
12/8/2011,0.265833,3322
12/9/2011,0.290833,3620
12/10/2011,0.275,3190
12/11/2011,0.220833,2743
12/12/2011,0.238333,3310
12/13/2011,0.2825,3523
12/14/2011,0.3175,3740
12/15/2011,0.4225,3709
12/16/2011,0.375,3577
12/17/2011,0.258333,2739
12/18/2011,0.238333,2431
12/19/2011,0.276667,3403
12/20/2011,0.385833,3750
12/21/2011,0.428333,2660
12/22/2011,0.423333,3068
12/23/2011,0.373333,2209
12/24/2011,0.3025,1011
12/25/2011,0.274783,754
12/26/2011,0.321739,1317
12/27/2011,0.325,1162
12/28/2011,0.29913,2302
12/29/2011,0.248333,2423
12/30/2011,0.311667,2999
12/31/2011,0.41,2485
1/1/2012,0.37,2294
1/2/2012,0.273043,1951
1/3/2012,0.15,2236
1/4/2012,0.1075,2368
1/5/2012,0.265833,3272
1/6/2012,0.334167,4098
1/7/2012,0.393333,4521
1/8/2012,0.3375,3425
1/9/2012,0.224167,2376
1/10/2012,0.308696,3598
1/11/2012,0.274167,2177
1/12/2012,0.3825,4097
1/13/2012,0.274167,3214
1/14/2012,0.18,2493
1/15/2012,0.166667,2311
1/16/2012,0.19,2298
1/17/2012,0.373043,2935
1/18/2012,0.303333,3376
1/19/2012,0.19,3292
1/20/2012,0.2175,3163
1/21/2012,0.173333,1301
1/22/2012,0.1625,1977
1/23/2012,0.218333,2432
1/24/2012,0.3425,4339
1/25/2012,0.294167,4270
1/26/2012,0.341667,4075
1/27/2012,0.425,3456
1/28/2012,0.315833,4023
1/29/2012,0.2825,3243
1/30/2012,0.269167,3624
1/31/2012,0.39,4509
2/1/2012,0.469167,4579
2/2/2012,0.399167,3761
2/3/2012,0.313333,4151
2/4/2012,0.264167,2832
2/5/2012,0.265833,2947
2/6/2012,0.282609,3784
2/7/2012,0.354167,4375
2/8/2012,0.256667,2802
2/9/2012,0.265,3830
2/10/2012,0.280833,3831
2/11/2012,0.224167,2169
2/12/2012,0.1275,1529
2/13/2012,0.2225,3422
2/14/2012,0.319167,3922
2/15/2012,0.348333,4169
2/16/2012,0.316667,3005
2/17/2012,0.343333,4154
2/18/2012,0.346667,4318
2/19/2012,0.28,2689
2/20/2012,0.28,3129
2/21/2012,0.287826,3777
2/22/2012,0.395833,4773
2/23/2012,0.454167,5062
2/24/2012,0.4075,3487
2/25/2012,0.290833,2732
2/26/2012,0.279167,3389
2/27/2012,0.366667,4322
2/28/2012,0.359167,4363
2/29/2012,0.344348,1834
3/1/2012,0.485833,4990
3/2/2012,0.353333,3194
3/3/2012,0.414167,4066
3/4/2012,0.325833,3423
3/5/2012,0.243333,3333
3/6/2012,0.258333,3956
3/7/2012,0.404167,4916
3/8/2012,0.5275,5382
3/9/2012,0.410833,4569
3/10/2012,0.2875,4118
3/11/2012,0.361739,4911
3/12/2012,0.466667,5298
3/13/2012,0.565,5847
3/14/2012,0.5725,6312
3/15/2012,0.5575,6192
3/16/2012,0.435833,4378
3/17/2012,0.514167,7836
3/18/2012,0.4725,5892
3/19/2012,0.545,6153
3/20/2012,0.560833,6093
3/21/2012,0.531667,6230
3/22/2012,0.554167,6871
3/23/2012,0.601667,8362
3/24/2012,0.5025,3372
3/25/2012,0.4375,4996
3/26/2012,0.445833,5558
3/27/2012,0.323333,5102
3/28/2012,0.484167,5698
3/29/2012,0.494167,6133
3/30/2012,0.37,5459
3/31/2012,0.424167,6235
4/1/2012,0.425833,6041
4/2/2012,0.433913,5936
4/3/2012,0.466667,6772
4/4/2012,0.541667,6436
4/5/2012,0.435,6457
4/6/2012,0.403333,6460
4/7/2012,0.4375,6857
4/8/2012,0.5,5169
4/9/2012,0.489167,5585
4/10/2012,0.446667,5918
4/11/2012,0.348696,4862
4/12/2012,0.3975,5409
4/13/2012,0.4425,6398
4/14/2012,0.495,7460
4/15/2012,0.606667,7132
4/16/2012,0.664167,6370
4/17/2012,0.608333,6691
4/18/2012,0.463333,4367
4/19/2012,0.498333,6565
4/20/2012,0.526667,7290
4/21/2012,0.57,6624
4/22/2012,0.396667,1027
4/23/2012,0.321667,3214
4/24/2012,0.413333,5633
4/25/2012,0.476667,6196
4/26/2012,0.498333,5026
4/27/2012,0.4575,6233
4/28/2012,0.376667,4220
4/29/2012,0.458333,6304
4/30/2012,0.464167,5572
5/1/2012,0.613333,5740
5/2/2012,0.564167,6169
5/3/2012,0.56,6421
5/4/2012,0.6275,6296
5/5/2012,0.621667,6883
5/6/2012,0.5625,6359
5/7/2012,0.5375,6273
5/8/2012,0.581667,5728
5/9/2012,0.575,4717
5/10/2012,0.505833,6572
5/11/2012,0.533333,7030
5/12/2012,0.564167,7429
5/13/2012,0.6125,6118
5/14/2012,0.573333,2843
5/15/2012,0.611667,5115
5/16/2012,0.636667,7424
5/17/2012,0.593333,7384
5/18/2012,0.564167,7639
5/19/2012,0.6,8294
5/20/2012,0.620833,7129
5/21/2012,0.598333,4359
5/22/2012,0.615,6073
5/23/2012,0.621667,5260
5/24/2012,0.655,6770
5/25/2012,0.68,6734
5/26/2012,0.6925,6536
5/27/2012,0.69,6591
5/28/2012,0.7125,6043
5/29/2012,0.7225,5743
5/30/2012,0.656667,6855
5/31/2012,0.68,7338
6/1/2012,0.654167,4127
6/2/2012,0.583333,8120
6/3/2012,0.6025,7641
6/4/2012,0.5975,6998
6/5/2012,0.540833,7001
6/6/2012,0.554167,7055
6/7/2012,0.6025,7494
6/8/2012,0.649167,7736
6/9/2012,0.710833,7498
6/10/2012,0.726667,6598
6/11/2012,0.720833,6664
6/12/2012,0.653333,4972
6/13/2012,0.655833,7421
6/14/2012,0.648333,7363
6/15/2012,0.639167,7665
6/16/2012,0.631667,7702
6/17/2012,0.5925,6978
6/18/2012,0.568333,5099
6/19/2012,0.688333,6825
6/20/2012,0.7825,6211
6/21/2012,0.805833,5905
6/22/2012,0.7775,5823
6/23/2012,0.731667,7458
6/24/2012,0.743333,6891
6/25/2012,0.715833,6779
6/26/2012,0.630833,7442
6/27/2012,0.6975,7335
6/28/2012,0.749167,6879
6/29/2012,0.834167,5463
6/30/2012,0.765,5687
7/1/2012,0.815833,5531
7/2/2012,0.781667,6227
7/3/2012,0.780833,6660
7/4/2012,0.789167,7403
7/5/2012,0.8275,6241
7/6/2012,0.828333,6207
7/7/2012,0.861667,4840
7/8/2012,0.8225,4672
7/9/2012,0.710833,6569
7/10/2012,0.720833,6290
7/11/2012,0.716667,7264
7/12/2012,0.715833,7446
7/13/2012,0.731667,7499
7/14/2012,0.703333,6969
7/15/2012,0.745833,6031
7/16/2012,0.763333,6830
7/17/2012,0.818333,6786
7/18/2012,0.793333,5713
7/19/2012,0.77,6591
7/20/2012,0.665833,5870
7/21/2012,0.595833,4459
7/22/2012,0.6675,7410
7/23/2012,0.741667,6966
7/24/2012,0.750833,7592
7/25/2012,0.724167,8173
7/26/2012,0.776667,6861
7/27/2012,0.781667,6904
7/28/2012,0.755833,6685
7/29/2012,0.721667,6597
7/30/2012,0.730833,7105
7/31/2012,0.713333,7216
8/1/2012,0.7175,7580
8/2/2012,0.7525,7261
8/3/2012,0.765833,7175
8/4/2012,0.793333,6824
8/5/2012,0.769167,5464
8/6/2012,0.7525,7013
8/7/2012,0.735833,7273
8/8/2012,0.75,7534
8/9/2012,0.755833,7286
8/10/2012,0.715833,5786
8/11/2012,0.6925,6299
8/12/2012,0.700833,6544
8/13/2012,0.720833,6883
8/14/2012,0.726667,6784
8/15/2012,0.706667,7347
8/16/2012,0.719167,7605
8/17/2012,0.723333,7148
8/18/2012,0.678333,7865
8/19/2012,0.635833,4549
8/20/2012,0.635833,6530
8/21/2012,0.649167,7006
8/22/2012,0.6675,7375
8/23/2012,0.695833,7765
8/24/2012,0.7025,7582
8/25/2012,0.661667,6053
8/26/2012,0.653333,5255
8/27/2012,0.703333,6917
8/28/2012,0.728333,7040
8/29/2012,0.685,7697
8/30/2012,0.706667,7713
8/31/2012,0.764167,7350
9/1/2012,0.753333,6140
9/2/2012,0.696667,5810
9/3/2012,0.7075,6034
9/4/2012,0.725833,6864
9/5/2012,0.736667,7112
9/6/2012,0.696667,6203
9/7/2012,0.703333,7504
9/8/2012,0.659167,5976
9/9/2012,0.61,8227
9/10/2012,0.583333,7525
9/11/2012,0.5775,7767
9/12/2012,0.599167,7870
9/13/2012,0.6125,7804
9/14/2012,0.633333,8009
9/15/2012,0.608333,8714
9/16/2012,0.58,7333
9/17/2012,0.580833,6869
9/18/2012,0.623333,4073
9/19/2012,0.5525,7591
9/20/2012,0.546667,7720
9/21/2012,0.599167,8167
9/22/2012,0.65,8395
9/23/2012,0.529167,7907
9/24/2012,0.514167,7436
9/25/2012,0.55,7538
9/26/2012,0.635,7733
9/27/2012,0.65,7393
9/28/2012,0.619167,7415
9/29/2012,0.5425,8555
9/30/2012,0.526667,6889
10/1/2012,0.520833,6778
10/2/2012,0.590833,4639
10/3/2012,0.6575,7572
10/4/2012,0.6575,7328
10/5/2012,0.615,8156
10/6/2012,0.554167,7965
10/7/2012,0.415833,3510
10/8/2012,0.383333,5478
10/9/2012,0.446667,6392
10/10/2012,0.514167,7691
10/11/2012,0.435,7570
10/12/2012,0.4375,7282
10/13/2012,0.393333,7109
10/14/2012,0.521667,6639
10/15/2012,0.561667,5875
10/16/2012,0.468333,7534
10/17/2012,0.455833,7461
10/18/2012,0.5225,7509
10/19/2012,0.563333,5424
10/20/2012,0.484167,8090
10/21/2012,0.464167,6824
10/22/2012,0.4875,7058
10/23/2012,0.544167,7466
10/24/2012,0.5875,7693
10/25/2012,0.55,7359
10/26/2012,0.545833,7444
10/27/2012,0.53,7852
10/28/2012,0.4775,4459
10/29/2012,0.44,22
10/30/2012,0.318182,1096
10/31/2012,0.3575,5566
11/1/2012,0.365833,5986
11/2/2012,0.355,5847
11/3/2012,0.343333,5138
11/4/2012,0.325833,5107
11/5/2012,0.319167,5259
11/6/2012,0.280833,5686
11/7/2012,0.295833,5035
11/8/2012,0.352174,5315
11/9/2012,0.361667,5992
11/10/2012,0.389167,6536
11/11/2012,0.420833,6852
11/12/2012,0.485,6269
11/13/2012,0.343333,4094
11/14/2012,0.289167,5495
11/15/2012,0.321667,5445
11/16/2012,0.345,5698
11/17/2012,0.325,5629
11/18/2012,0.3425,4669
11/19/2012,0.380833,5499
11/20/2012,0.374167,5634
11/21/2012,0.353333,5146
11/22/2012,0.34,2425
11/23/2012,0.368333,3910
11/24/2012,0.278333,2277
11/25/2012,0.245833,2424
11/26/2012,0.313333,5087
11/27/2012,0.291667,3959
11/28/2012,0.296667,5260
11/29/2012,0.28087,5323
11/30/2012,0.298333,5668
12/1/2012,0.298333,5191
12/2/2012,0.3475,4649
12/3/2012,0.4525,6234
12/4/2012,0.475833,6606
12/5/2012,0.438333,5729
12/6/2012,0.255833,5375
12/7/2012,0.320833,5008
12/8/2012,0.381667,5582
12/9/2012,0.384167,3228
12/10/2012,0.435833,5170
12/11/2012,0.353333,5501
12/12/2012,0.2975,5319
12/13/2012,0.295833,5532
12/14/2012,0.281667,5611
12/15/2012,0.324167,5047
12/16/2012,0.3625,3786
12/17/2012,0.393333,4585
12/18/2012,0.410833,5557
12/19/2012,0.3325,5267
12/20/2012,0.33,4128
12/21/2012,0.326667,3623
12/22/2012,0.265833,1749
12/23/2012,0.245833,1787
12/24/2012,0.231304,920
12/25/2012,0.291304,1013
12/26/2012,0.243333,441
12/27/2012,0.254167,2114
12/28/2012,0.253333,3095
12/29/2012,0.253333,1341
12/30/2012,0.255833,1796
12/31/2012,0.215833,2729
